danci,yinbiao,yisi,liju
equivocate,[ɪˈkwɪvəkeɪt],含糊其辞,
laid off, ,下岗,get laid off 被解雇
engagement,[ɪnˈɡeɪdʒmənt],婚约,
positively,[ˈpɑːzətɪvli],= truly 真的是（表强调）,
famished,[ˈfæmɪʃt],饿坏了的,
get it togather, ,振作起来 = control your emotions,
表示“傻子”的英语, ,如下,"傻子：moron、dumb ass、idiot、fool
愚蠢的：foolish、stupid"
swell,[swel],肿胀,swollen 肿胀的
break free, ,摆脱,
appalling,[əˈpɔːlɪŋ],骇人听闻的,
drastic,[ˈdræstɪk],极端的，剧烈的,drastic measures极端措施
hostility,[hɑːˈstɪləti],敌意,
fire into, ,向...开火,
a crowd of, ,一群,
circumstance,[ˈsɜːrkəmstæns],情形,
get worked up, ,激动、生气,Try not to get too worked up over it. 尝试着对这一切不要太过敏感。
over nothing, ,无缘无故,
tackle,[ˈtæk(ə)l],应付，处理,
trim,[trɪm],修剪（植物，头发）、整齐的、苗条的,
luxury,[ˈlʌkʃəri],奢侈品,luxurious   奢侈的
sideburns,[ˈsaɪdˌbɜːrnz],鬓角,
withdraw,[wɪðˈdrɔː],提/取(钱)、撤退,
pound key, ,井号键,
gram,[ɡræm],克,"kilogram 千克
milligram 毫克"
pharmacy,[ˈfɑːrməsi],药店,
prescription,[prɪˈskrɪpʃ(ə)n],处方,otc(over the counter) drug 非处方药
overdose,[ˈoʊvərdoʊs],过量服用,dose 剂量
take medicine., ,服药	，不用eat,
prescribe,[prɪˈskraɪb],规定,prescribe medicine 开药
pass time, ,打发时间,
what do you think this is？, ,你把这当成什么了？,
national anthem, ,国歌,
light and airy, ,明亮又通风,
square footage, ,直译：平方英尺，意思就是“面积”,
四则运算英语, ,如下,"加(add)：1 plus 1 equals 2
减(subtract)：2 minus 1 equals 1
乘(times)：3 times 4 equals 12 / multiply 3 by 4  equals 12 / 3 multiplied by 4 equals 12
除(divide)：4 divided by 2 equals 2"
household appliances, ,家用电器,
wig,[wɪɡ],假发,
sustain,[səˈsteɪn],遭受、保持,sustain heavy damage / losses
nature,[ˈneɪtʃər],还有“根本原因”的意思 = basic reason,What is the nature of your visit in US?
OK，Here is the thing., ,“好，事情是这样的”，一般用于谈话的开始,
I can't take it anymore, ,我受不了了 = can't stand or can't tolerate anymore.,
guts,[ɡʌts],原意是内脏，这里意思是胆子,have the guts to do sth.
courageous,[kəˈreɪdʒəs],有勇气的,
give (sb) a shot, ,给(某人)一个机会,
smash,[smæʃ],打碎,smash the window / dream
check,[tʃek],还有“托运”的意思，,"check my luggage /bag /suitcase
与之相反是自己拿，carry-on luggage"
continent,[ˈkɑːntɪnənt],洲，大陆,intercontinental 洲际的
absurd,[əbˈsɜːrd],荒谬的,
How can I do, ,我该怎么办 = How am I supposed to do,
next to nothing, ,几乎没有,"cost next to nothing	 跟不要钱一样
know next to nothing 几乎几无所知"
cost an arm and a leg, ,非常昂贵,
renowned,[rɪˈnaʊnd],闻名的,world renowned
vow,[vaʊ],发誓,
approach,[əˈproʊtʃ],走近、达到、方式,"My boss approached me this morning to talk about an improtant pay rise.
He took a very scientific approach to management.  他采取了一种非常科学的管理方法"
whereabouts,[ˈwerəbaʊts],下落,"Some are now free, but the whereabouts of others is unknow."
come clean, ,全盘交代,
down,[daʊn],有“沿着”的意思,Go down the road till you reach the traffic lights.
sponsor,[ˈspɑːnsər],赞助,This video is sponsored by XXX
a ton of, ,大量的,
break down, ,有细细说来的意思,Let's break down the differences between ... and ...
dramatically,[drəˈmætɪkli],戏剧性的、夸张的、剧烈的,"The cost of living has increased dramatically.
Their quality of life improved dramatically when they moved to France"
First off, ,首先,
pillar,[ˈpɪlər],柱子,
表迷人的单词, ,如下,"appealing
attractive
fascinating
charming
tempting"
fascinated,[ˈfæsɪneɪtɪd],入迷的,I've awalys been fascinated by video games.
ironically,[aɪˈrɑːnɪkli],讽刺的是,
back then, ,那时候,And that was unbelievably exciting back then.
thrill,[θrɪl],兴奋，狂喜,
square,[skwer],正方形,rectangle  矩形
repetitive,[rɪˈpetətɪv],重复乏味的,I'll also teach how to use Python to automate boring repetitive tasks that waste your time.
stalking,[ˈstɔːkɪŋ],骚扰,
exploit,[ɪkˈsplɔɪt],剥削 n.exploitation,
beloved,[bɪˈlʌvɪd],心爱的,
discriminate,[dɪˈskrɪmɪneɪt],区分，歧视,
indiscriminate,[ˌɪndɪˈskrɪmɪnət],无差别的，不分青红皂白的,
premise,[ˈpremɪs],前提,
undergo,[ˌʌndərˈɡoʊ],经受,undergo surgery/search/test/training
cast,[kæst],全体演员、选某人扮演的意思,He was cast as college professor. / She was cast in the film XXX
rockey start, ,不顺的开始,Her career had a rockry start./ He had a rocky start during his first week at the school.
term,[tɜːrm],条款、术语、期间(任期，学期),payment term 支付条款
anguish,[ˈæŋɡwɪʃ],极度痛苦的,
Who are you to, ,= What gives you the right to  你有什么权力去。。。,Who are you to say I'm fired? You are not my boss at all.
capacity,[kəˈpæsəti],能力，容量,
intelligence,[ɪnˈtelɪdʒəns],智力,
qualify,[ˈkwɑːlɪfaɪ],取得资格,qualify for the next around
undertake,[ˌʌndərˈteɪk],承担,"undertake ressponsbility  承担责任
undertake due obligations 承担应有的义务"
nevertheless,[ˌnevərðəˈles],然而[正式],
What does that mean, ,这时什么意思,
rogue,[roʊɡ],流氓,rogue trader 流氓交易商
debris,[dəˈbriː],残骸、碎片,
identical,[aɪˈdentɪk(ə)l],完全相同,identify、identification 识别、确认
announcer,[əˈnaʊnsər],播音员,
deficiency,[dɪˈfɪʃ(ə)nsi],缺乏,"iron deficiency 缺铁
mental deficiency 智力缺陷"
foul breath, ,口臭,Your breath smells.
zone out, ,昏昏沉沉，开小差,
unscientific,[ˌʌnˌsaɪənˈtɪfɪk],不科学的,
notion,[ˈnoʊʃ(ə)n],想法,idea 主意
scatter,[ˈskætər],播、撒、使分散,"scattered  分散的
He picked up the scattered toys.
At the first gunshot, the crowd scattered."
mixed bag, ,大杂烩,
flatter,[ˈflætər],奉承，讨好,flattering 讨人喜欢的
hover,[ˈhʌvər],盘旋，徘徊,"hover around 徘徊在某个水平
The exchage rage hoverd around 7 yuan to the dollar."
gust,[ɡʌst],阵风,a gust of wind
sleet,[sliːt],雨夹雪，冻雨,
daytime,[ˈdeɪtaɪm],白天,
obnoxious,[əbˈnɑːkʃəs],令人讨厌的,
impression,[ɪmˈpreʃ(ə)n],印象),What's your impression of this film?
fable,[ˈfeɪb(ə)l],寓言,
depict,[dɪˈpɪkt],描绘 n. depiction,The media depict him as a left-wing bogeyman. 媒体把他描绘成一个左翼怪物。
portray,[pɔːrˈtreɪ],描绘、扮演,"In 1975 he portrayed the king... 扮演国王
He is well-known for his portrayal of a prison in the film ""xxx"""
accuse,[əˈkjuːz],指责、指控,"n. accusation
Stop accusing me of all these things."
plagiarise,[ˈpleɪdʒəraɪz],剽窃、抄袭,"n. plagiarism
He's accused of plagiarism"
folk,[foʊk],人们、民间的,"folk tales 民间故事
folk culture 民俗文化
folk song 民歌"
enchanting,[ɪnˈtʃæntɪŋ],迷人的,
grim,[ɡrɪm],严酷的、令人沮丧的,The outlook is pretty grim. 前景令人甚感忧虑。
nosy,[ˈnoʊzi],爱管闲事的,"Excuse me if I am being a bit nosy but, how old are you?"
don't get me wrong, ,不要误会\误解,
sure thing, ,当然 = of course,
raise,[reɪz],还有“抚养”的意思,He was born and raised in Cananda.
coincidence,[koʊˈɪnsɪdəns],巧合,What a coincidence！ 真巧啊！
creek,[kriːk],小溪,
sun set, ,日落,The sun is about to set.  太阳就要落山了
groan,[ɡroʊn],呻吟、抱怨,
head into, ,走向 = move towards,
rope,[roʊp],绳索,rope ladder 绳梯
poke,[poʊk],戳(进)、探出(脑袋),She poked her head out of the tree house window.
How come..., ,怎么...,How come you are not at work today? 你今天怎么没上班呢？
at&t,[æt; ət],美国电话电报公司,American Telephone and Telegraph Company.
invade,[ɪnˈveɪd],入侵,"invasion
invader 侵略者"
slander,[ˈslændər],诽谤,scandal 丑闻
eternal,[ɪˈtɜːrn(ə)l],永恒的，无休止的,universe is eternal and infinite. 宇宙是永恒和无限的
greed,[ɡriːd],贪婪,greedy贪婪的
I think otherwise, ,我不这么认为,
originality,[əˌrɪdʒəˈnæləti],独创性,
rightfully,[ˈraɪtfəli],正当的，理所应当的,He returned to take rightfully his.
pursuit,[pərˈsuːt],追求,artistic pursuit 艺术追求
deceive,[dɪˈsiːv],欺骗，误导,deception 欺骗，骗局   (格式同receive reception接待处 )
fraud,[frɔːd],诈骗罪，骗子,
melt,[melt],融化、熔化、消散(文学性),The snow or the ice was begining to melt.
I beg to differ, ,我不敢苟同,
hypothesis,[haɪˈpɑːθəsɪs],假说,
monger,[mɑːŋɡər],贩子,"scare-monger 恐惧贩子
info-monger 信息贩子
fish-monger 鱼贩子"
duplicitous,[duːˈplɪsɪtəs],奸诈的,
put forth, ,提出,put forth new theory / proposal
concede,[kənˈsiːd],承认(通常是不情愿的，自己的错误),
You're full of it., ,你就骗/装吧你,
truthful,[ˈtruːθfl],诚实的,
ask for leave, ,请假,ask for sick leave 请病假
blow away, ,吹走，留下深刻印象,I was completely blown away by your stragegy outline.
take on board, ,采纳，听取（建议）,
think through, ,充分考虑,
pant,[pænt],气喘吁吁,pants 裤子
clank,[klæŋk],(金属)发出咣当声,
personality,[ˌpɜːrsəˈnæləti],性格，个性,
compatible,[kəmˈpætəb(ə)l],兼容的,be compatible with
what's the catch?, ,有什么目的(圈套)？,
special promotion, ,特别优惠,
attend,[əˈtend],参加,attend meeting /school /colleage /class /church 参加(会议)、上(学、课)、出席等
attendance,[əˈtendəns],出勤，考勤,
resign,[rɪˈzaɪn],辞职,n. resignation
recruit,[rɪˈkruːt],招聘、招募,
runny,[ˈrʌni],过稀的,"The soup is too runny, is completely inedible."
edible,[ˈedəb(ə)l],可食用的,
rubbery,[ˈrʌbəri],嚼不动的,rubber  橡胶
a sliver of, ,一小片，一丝  = a little slice of,A silver of light showed under the door.
make a big deal, ,小题大做,
shell out, ,付(一大笔)钱，破费,
gory,[ˈɡɔːri],血淋淋的,gory detail 血淋淋的细节
shoulder the responsibility, ,承担责任,
for crying out loud, ,真是岂有此理！,
applicable,[ˈæplɪkəb(ə)l],适用的,What is a reasonable standard for one family is not applicable for another.
concise,[kənˈsaɪs],简洁的,concise and precise  简洁明确的
compulsory,[kəmˈpʌlsəri],强制的,"compulsory course 必修课
compulsory education 义务教育"
caterpillar,[ˈkætərpɪlər],毛毛虫,
homebody,[ˈhoʊmbɑːdi],宅男/女,
catch up, ,赶上,catch up on some chores 赶做一些家务活
major,[ˈmeɪdʒər],主修,minor 辅修
tuition,[tuˈɪʃ(ə)n],学费,
credit,[ˈkredɪt],学分,
calendar,[ˈkælɪndər],日历,
slander,[ˈslændər],诽谤,
slender,[ˈslendər],苗条的,
plumber,[ˈplʌmər],水管工,
rust,[rʌst],铁锈，生锈,rusty 生锈的
drain,[dreɪn],下水道，排水管，排出(v),
flush down, ,冲下去,flush down the toilet
running late, ,要晚了,I'm running late. 我要迟到了。。
tell me about it., ,可不是嘛，表示赞同。,
nauseous,[ˈnɔːʃəs],令人恶心作呕的,
dizzy,[ˈdɪzi],头晕的,She felt dizzy and nauseous.
dehydrated,[diːˈhaɪdreɪtɪd],脱水的,
throw up, ,呕吐= vomit (正式) = puke(非正式),
pounding,[ˈpaʊndɪŋ],砰砰响、重击,There was a pounding in his head / My head has been pounding all the day. 头砰砰作响
tantamount,[ˈtæntəmaʊnt],无异于(正式),An execuse like that is tantamount to lying.
procreate,[ˈproʊkrieɪt],生育(正式),"词源：pro-,向前，create,创造，生长"
procrastinate,[prəˈkræstɪneɪt],拖延(正式),Do not procrastinate.
rationalize,[ˈræʃ(ə)nəlaɪz],使...合理化,You're trying to rationalize the fact that you've missed your deadline.
pass the buck, ,推卸责任,
in over your head, ,力不从心,
forthright,[ˈfɔːrθraɪt],直率的,
devoted,[dɪˈvoʊtɪd],全心全意的、专注于,"devoted to
a devoted husband is very commited to his wife."
talk over, ,仔细讨论、商量,Let's talk it over.
at the drop of a hat, ,立即,"I love to travel, I'm ready to go at the drop of a hat."
dwell,[dwel],总想着(往往是负面的事情),"The more you dwell on negative emotions, the more negative we begin to feel.
You made a mistake, but there's no need to dwell on it."
mainsion, ,大厦 = very large house,
spooky,[ˈspuːki],阴森的,spooky house 鬼屋 (主要形容环境)
creepy,[ˈkriːpi],吓人的、瘆人的 （形容事物）,
ultra,[ˈʌltrə],超...的,"ultra violet 紫外
ultra high speed 超高速
supernatural 超自然的"
scaredy-cat,[ˈskerdi kæt],胆小鬼,
goose,[ɡuːs],鹅,goose bump 鸡皮疙瘩
prosperity,[prɑːˈsperəti],繁荣,"peace and prosperity
prosperity and depression"
solemn,[ˈsɑːləm],严肃的，庄严的,solemn ceremony 隆重的仪式
basis,[ˈbeɪsɪs],基础,on the basis of 以...为基础
slack,[slæk],松弛的,"cut me some slack 放我一马，通融一下
slack-jawed 目瞪口呆的 （jaw 下巴）"
check out, ,结账、退房,
fortune,[ˈfɔːrtʃən],除了幸运、财富还 “一大笔钱”的意思,We spend a fortune on cigretees every month.
Let's just say, ,就这么说吧,
incorrigible,[ɪnˈkɔːrɪdʒəb(ə)l],不可救药的,
pride and joy, ,引以为豪的(孩子),
go through with, ,完成，将...进行到底,I can't go through with it
yearn,[jɜːrn],渴望,He yearned for freedom.
foster,[ˈfɑːstər],收养(的),foster father 养父
demonstrate,[ˈdemənstreɪt],证明，示范，演示，展现,
mainly,[ˈmeɪnli],主要是,
pump iron, ,举重,
take sth apart, ,拆开,
spew,[spjuː],喷出、排出、呕吐,This old car started to spewing white smoke.
spray,[spreɪ],喷出(专指水),sprayer 喷雾器
and so is ..., ,...也一样,
mount,[maʊnt],山、安装、骑上,"mount the TV / picture  on the wall.
mount the horse (= to get up on the horse ) and ride."
grouchy,[ˈɡraʊtʃi],好发牢骚的,"grouch 爱发牢骚的人
grumpy 脾气坏的"
brush sb off, ,冷落，不理睬某人,
get off the phone, ,挂电话,"get off the car 下车
get off the bed 下床
get off work 下班"
at times, ,有时、偶尔,Their pranks are amusing at times. 他们的恶作剧有时很逗。
foul-mouthed,[ˌfaʊl ˈmaʊðd],满嘴脏话的,
on edge, ,紧张，坐立不安,She was always on edge before an interview.
You are something else., ,意思是“你和其他人不一样”，可以理解为“你可真是个奇葩”,
nerve-wracking,"['nə:v,rækiŋ]",令人头疼的，伤脑筋的,
neat freak, ,有洁癖的人,"He is a complete neat freak, he cleaned the floor three times today."
intentional,[ɪnˈtenʃən(ə)l],故意的 = deliberate,He's sent off the field for his intentional hurting.
rally,[ˈræli],集会,That looks like a protest rally.(抗议集会)
throw in, ,免费赠送,
detect,[dɪˈtekt],察觉,"There is movement which is too slow for our eyes to detect.
The new test should enable doctors to detect the disease early."
mock,[mɑːk],嘲笑,
admittedly,[ədˈmɪtɪdli],诚然(得承认的),
scrap,[skræp],废弃的，碎片，废除,"a scrap of paper   一小片纸
scrap paper 废纸
Why is YouTube scrapping the dislike count on videos？"
sorely,[ˈsɔːrli],非常[表强调],I was sorely disappointed.  It is sorely needed.
disposal,[dɪˈspoʊz(ə)l],n. 处置，处理,"waste disposal 废物处理
sewage  disposal 污水处理"
immense,[ɪˈmens],极大的,"The town takes immense pride in recent achievement,"
bodyguard,[ˈbɑːdiɡɑːrd],保镖,
intake,[ˈɪnteɪk],摄入量,
sniff,[snɪf],抽鼻子，嗅,
engaging,[ɪnˈɡeɪdʒɪŋ],迷人的,Those books usually have very intresting and engaging plot.
radically,[ˈrædɪkli],彻底的,
anonymous,[əˈnɑːnɪməs],匿名的,
strip,[strɪp],条、脱、剥离,"条：a strip of cloth 一个布条
脱(衣)：They stripped completely.  He stripped off his wet clothes and stepped into the shower.
剥离，剥夺"
striped,[straɪpt],条纹的,
capital punishment, ,死刑 = death penalty,
penalty,[ˈpenəlti],处罚(法律、体育),punishment 泛指惩罚
that's all for, ,就这些,That's all for today's class.
tough,[tʌf],坚硬的，艰苦的,
prison,[ˈprɪzn],监狱,"jail 拘留所(罪行更轻一些)
slammer 监狱(非正式)"
lock up, ,关起来,= imprison 关押，监禁
sentence,[ˈsentəns],句子，判刑，刑罚,"sentence to death.
He was given a 4-years sentence.
to serve a prison sentence. 服刑"
juvenile,[ˈdʒuːvən(ə)l],青少年的,"juvenile prison 少管所
juvenile offender 少年犯"
crime,[kraɪm],犯罪,
prisoner,[ˈprɪz(ə)nər],囚犯,offender(罪行较轻) = criminal 罪犯
miscarriage,[ˈmɪskærɪdʒ],[事故]流产,"miscarriage of justice 误判
miscarriage是事故，而abortion是刻意的"
convicted,[kənˈvɪktɪd],证明有罪,"He is convicted of murder.
There was insufficient evidence to convict him."
conviction,[kənˈvɪkʃn],判决,wrongful conviction case 冤假错案
fabricate,[ˈfæbrɪkeɪt],伪造，捏造,"complete fabrication 纯属虚构
辨析：fabric 布料"
deter,[dɪˈtɜːr],阻止 = prevent sb from doing sth.   deter更倾向于使用惩罚的手段阻止。,
divert,[daɪˈvɜːrt],转移,divert attention from / to...
reckon,[ˈrekən],估计，估算,In my reckoning = in my opinion
dictator,[ˈdɪkteɪtər],独裁者 (注意重音在第一个),
sanction,[ˈsæŋkʃ(ə)n],制裁,"legal sanction 法律制裁
economic sanction 经济制裁"
impose,[ɪmˈpoʊz],强加于,"the imposition of sanction against Pakistan.
If I were president, I would impose tougher laws and punishment."
compulsory,[kəmˈpʌlsəri],强制的，义务的，必须的   【注意发音 ʌl连在一起发ou音】,
compose,[kəmˈpoʊz],组成，作曲、撰写,be composed of...
conscience,[ˈkɑːnʃəns],良知,"I have a guilty conscience. 我内心有愧。
conscientious  认真的，尽责的"
conscious,[ˈkɑːnʃəs],adj.意识到的,"She is very conscious of the importence of intellectual property (知识产权)
n. consciousness  意识
social consciousness 社会意识
legal consciousness 法律意识"
chickenpox,[ˈtʃɪkɪnpɑːks],水痘,
contagious,[kənˈteɪdʒəs],传染性的,some disease is highly contagious， don't be infected with it.
blow something out of proportion, ,夸大其词,
allergy,[ˈælərdʒi],n.过敏,"I have allergy to cat.
be allergic   to 对...过敏
anaphylactic  shock 过敏性休克"
synthetic,[sɪnˈθetɪk],人造的，合成的,
vulnerable,[ˈvʌlnərəb(ə)l],脆弱的，易受伤的,
poach,[poʊtʃ],偷猎,
at the mercy of, ,受...的支配、摆布,Animals are completely at the mercy of human beings.
mistreat,[ˌmɪsˈtriːt],虐待,
unbearable,[ʌnˈberəb(ə)l],难以忍受的,
do my part, ,尽自己的职责,That is my way of doing my part.
debatable topic, ,有争论的话题,近义词：controversial
hypocrisy,[hɪˈpɑːkrəsi],伪善,"hypocrite  伪君子
hypocritical  虚伪的【同词根的还有一个 hypothesis 假说】"
superstition,[ˌsuːpərˈstɪʃ(ə)n],迷信,superstitious 迷信的
in touch with, ,联系,You should be more in touch with your inner child
drop out of school, ,退学,
siblings,[ˈsɪblɪŋz],兄弟姐妹(正式),
frown,[fraʊn],皱眉,His smile immediately changed to a frown.
waterproof,[ˈwɔːtərpruːf],防水的,
stand on tiptoe, ,踮起脚尖,She had to stand on tiptoe to reach the top shelf.
acquaint,[əˈkweɪnt],熟悉，了解,All of the TOFEL preperation is just getting acquainted with the tasks.
peep,[piːp],偷看,peeping tom 偷窥狂
be caught red-handed, ,被当场抓到,
paranoid,[ˈpærənɔɪd],多疑的，妄想的、偏执狂,
telemarketer,[ˌtelɪˈmɑːkɪtə],电话销售员,
renew,[rɪˈnuː],重新开始、恢复、续签,my lease is up，I decide to renew it. 我的租约到期了，打算续签。
make way for, ,为...开路,
decent,[ˈdiːs(ə)nt],像样的，得体的,There are no decent schools round here.
sneaky,[ˈsniːki],偷偷摸摸的,
put up with, ,忍受,
come up with, ,提出，赶上,
without any further ado, ,闲话少说，言归正传,
up to, ,忙于,"what have you been up to (lately) 你最近在忙什么？
I'm up to my work."
same here, ,我也一样，彼此彼此  (可以代替me too),
be sick and tired of..., ,对...烦透了,
whine,[waɪn],牢骚，抱怨,I'm sick and tired of all your whining.
make enemies with, ,与。。。树敌,
organism,[ˈɔːrɡənɪzəm],微生物，有机体,
conundrum,[kəˈnʌndrəm],谜题,
pile,[paɪl],堆,"a pile of book 一堆书
pile up 堆积"
up to my neck, ,忙的不可开交,I'm up to my neck in work
have sb's hands full, ,也是“忙得腾不出手”的意思,She certainly has her hands full with four kids in the house
hectic,[ˈhektɪk],忙碌的 （比 busy的程度高）,
nonsense,[ˈnɑːnsens],废话,
to turn on its head, ,完全改变,Newton completely turned physics on its head with his theory on gravity
full of holes., ,漏洞百出的,His story is full of holes.
propose,[prəˈpoʊz],提出,propose an explanation 提出一个解释  the explanation proposed by...
compl_单词辨析, ,如下,"complement    补充   complementary  互补的
compliment    恭维，称赞 （与上面那个发音相同）complimentary 免费赠送的、赞美的
compliance (n)  服从，遵守    compliant  服从的，顺从的   eg. verify compliance with the treaty. 确认条约的遵守"
homesick,[ˈhoʊmsɪk],想家的,She's feeling a little homesick.
slurp,[slɜːrp],咂嘴，出声的吃喝,Would you mind not slurping your coffee every time you have a cup?
have a cup of coffee., ,来杯咖啡,
shoot the breath., ,吹牛，闲扯,"Wre like to shoot  the breath during the break.\ We were just shooting the breath,"
straw,[strɔː],吸管,
cut it out！, ,打住、到此为止,
You've got to be kidding me!, ,你在和我开玩笑把！,
come in handy, ,迟早有用,"Don't throw that away, it might come in handy."
fare,[fer],交通费,air fare、bus fare
nostalgia,[nəˈstældʒə],怀旧,"nostalgic 怀旧的
I have nostalgia for my childhood. Many people were nostalgic for the good old days."
bummed out, ,失望、沮丧,Are you bummed out for something?
grasp,[ɡræsp],抓牢、领会,They have a good grasp of foreign language. 他们对外语掌握得很好。
help out, ,帮助摆脱困境,These tips will help you guys out.
pinpoint,[ˈpɪnpɔɪnt],定位,I could pinpoint his precise location on the map.
fresh start, ,全新开始,"Another year, another fresh start."
go over, ,仔细过一遍,I am going to go over the first step you need to take when start to learn a new language.
eternity,[ɪˈtɜːrnəti],(n)永恒,You will regret for eternity.   eternal  永恒的  It is an eternal concept.
rational explanation, ,合理的解释,
grow,[ɡroʊ],种植,"What kind of stuff do you grow in there? 你在这种什么？We grew everything, we grew tomatoes, and green peppers.(青椒)"
Hey buddy, ,嘿，老兄,
moisture,[ˈmɔɪstʃər],潮气、水分,There is so much moisture in the air.
reluctant,[rɪˈlʌktənt],不情愿的,I'm feeling a bit reluctant to leave today. 今天要走还是有点舍不得的。
critter,[ˈkrɪtər],小动物(美国，非正式),
outskirt,[ˈaʊtˌskɜːrt],郊区，外围,outskirt of the towm
all of a sudden, ,突然地,
obsession,[əbˈseʃn],迷恋、痴迷,He have an obsession with numbers.  obsessive 痴迷的
crave,[kreɪv],渴望,"I must crave your pardon.   我必须恳求您原谅。
a craving for suger.  对糖的渴望"
chubby,[ˈtʃʌbi],圆胖的，丰满的,
insinuate,[ɪnˈsɪnjueɪt],暗示，暗讽,I may have accidentally insinuated that she is getting chubbier.
pirate,[ˈpaɪrət],海盗，盗版,Pirate copies of the DVD are already being sold.
pre-existing,[ˌpriː ɪɡˈzɪstɪŋ],已存在的，现存的,"We dont have any pre existing illnesses, so we should be fine."
qualify for, ,有...的资格,Do you think we can qualify for insurance?  New businesses can qualify for tax remission.
blow off, ,不理，不管,So you blew me off yesterday and today over a stupid video game?
be hooked on, ,被迷住,I'm totally hooked on this game.    He's totally hooked on you.
grave,[ɡreɪv],坟墓,"cemetery 墓地、公墓（指一大片地方）
tomb 古墓  如：tomb rider 古墓丽影"
deceased,[dɪˈsiːst],已故的，死者,his rencently deceased mother.
veterans,[ˈvetərənz],退伍老兵,veterans day 老兵节
armistice,[ˈɑːrmɪstɪs],停战，休战,"Finally, the Bolsheviks signed an armistice with the germany."
call a truce, ,休战,
allies,[ˈælaɪz],同盟国(二战)，协约国(一战),
signed a peace treaty, ,签订和平条约,
commemorate,[kəˈmeməreɪt],纪念,Many countries around the world commemorate this date.
flunk,[flʌŋk],未通过考试(非正式)，挂科,Because I flunked history in school.
self-critical,[ˌself ˈkrɪtɪk(ə)l],严于律己的,I was much too self-critical.
for sure, ,确实,
lousy,[ˈlaʊzi],糟糕的(非正式),the menu is limited and the food is lousy.  品种有限，质量也很糟。
poor,[pʊr],次的,The quality is poor.
duel,[ˈduːəl],决斗,
I'll be there, ,我马上过去,
and stuff, ,等等,and all that stuff
if I ever failed you., ,如果我曾经辜负了你,
jeopardize,[ˈdʒepərdaɪz],危及，损害,jeopardy 险境 put something in jeopardy.
well-being,[ˈwel biːɪŋ],幸福,I had never experienced such well-being in all my life.
planned and organized., ,有计划和条理的,My personality is very planned and organized.
heartfelt,[ˈhɑːrtfelt],由衷的,A heartfelt apology can not only heal a damaged relationship but also make it stronger.
jargon,[ˈdʒɑːrɡən],行话,
social security, ,社会保障,public security 公共安全
deduct,[dɪˈdʌkt],扣除,you can authorize your employer to deduct a certain amount of money from your paycheck 你可以授权你的雇主从你的工资中扣除一定数额的钱
piggy bank, ,存钱罐,
ceramic,[səˈræmɪk],陶瓷的,
put away, ,收拾起来，存储,"Last year, I put away a thousand dollars."
plan out, ,规划,Plant out a resonable schedule and stick to it.
compulsive,[kəmˈpʌlsɪv],让人欲罢不能的，强迫性的,I am a compulsive saver.
alleged,[əˈledʒd],被指称,It is alleged that he mistreated the prisoners.
Sneak Peek, ,先睹为快,
jeopardize,[ˈdʒepərdaɪz],危及，损害,This dispute could jeopardize the negotiations.
humiliate,[hjuːˈmɪlieɪt],羞辱，感到丢脸,I didn't want to humiliate her in front of the colleagues./ I have never felt so humiliate in my life.
roller coaster, ,过山车,
commemorate,[kəˈmeməreɪt],纪念,
sip,[sɪp],一小口,He took a sip of Whisky.
rear,[rɪr],后方，尾部,the rear of ...
looks to me like ..., ,在我看来,
accessories,[ækˈsesəri],附件，配件,
startle,[ˈstɑːrt(ə)l],使吓一跳,The telephone startle him.
spill,[spɪl],洒出,He startled her and made her spill the drink./ I accidentally spilled beer all over my wife's dress.
promising,[ˈprɑːmɪsɪŋ],有希望的，有前途的,Sound pretty promising huh?
Not necessarily, ,不一定,That not necessarily means you're safe.
vendor,[ˈvendər],小贩、厂商,"When graphic card vendor design their card, they won't exploit all the power potential your cards have."
utilize,[ˈjuːtəlaɪz],利用,The engineers utilize this techniques to enhance the quality of the recordings.
way too, ,实在是太,We're all way too busy.      way better 好多了  this is way better than...
a handful of, ,少量,"... which basically means, only a handful of games can actually run with ssl..."
frankly speaking, ,老实说，坦率的讲,
allowance,[əˈlaʊəns],补贴,
allocate,[ˈæləkeɪt],分配,
receipt,[rɪˈsiːt],发票，收据,
authentically,[ɔːˈθentɪkli],真正的，真实的,
pissed off, ,生气,I really pissed off at sb / with sth.
thrilled,[θrɪld],兴奋 = very happy,I'm thrilled to see you here.
devastated,[ˈdevəsteɪtɪd],满目疮痍的，深受打击的 = very sad,The woman is devastated by the loss of her husband.
devastating,[ˈdevəsteɪtɪŋ],毁灭性的,
devastate,[ˈdevəsteɪt],"毁坏、破坏 （词源：de-, 强调，整个的。vast, 广阔的）",
miserable,[ˈmɪzrəb(ə)l],痛苦的 = very unhappy,The man is miserable living with his critical in-laws(亲家).
filthy,[ˈfɪlθi],非常肮脏，污秽的 = very dirty,"Your room is filthy, Please clean it up."
spotless,[ˈspɑːtləs],一尘不染的 = very clean,The kitchen is spotless after the cleaner came.
hilarious,[hɪˈleriəs],爆笑的 = very funny,Everyone loves Tom beacuse he is hilarious.
petrified,[ˈpetrɪfaɪd],特别怕的 = very afraid,I'm petrified of snakes/being alone.
hideous,[ˈhɪdiəs],极丑的 = very ugly,The painting is hideous.
swamped,[swɒmpt],应接不暇的 = very busy.,I‘m swamped with work this week.
